id,name,city,country,stratum,qid,match_status,match_method,confidence,en_article,he_article,en_summary_chars,en_summary_words,he_summary_chars,he_summary_words,image_available,image_filename,image_width,image_height,aspect_ratio,image_file_size_mb,image_license,attribution_required,osm_match,osm_type,osm_id,opening_hours_status,opening_hours_value,note,wikidata_url,wikipedia_en_url,wikipedia_he_url,commons_url,thumbnail_400_url,osm_url
12,Yanaka Ginza,Tokyo,Japan,B,Q106701725,exact,name,high,False,False,,,,,True,Yanaka Ginza 2.jpg,4032,3024,1.333,1.56,unverified,,False,,,unknown,,Exact Wikidata item; only Japanese and Korean Wikipedia sitelinks.,https://www.wikidata.org/wiki/Q106701725,,,https://commons.wikimedia.org/wiki/File:Yanaka%20Ginza%202.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Yanaka%20Ginza%202.jpg?width=400,
13,Meguro River / Nakameguro canal,Tokyo,Japan,B,Q8010297,exact,name + coordinates,high,True,False,192,32,,,True,Meguro River Spring 2014(2).jpg,2048,1536,1.333,,unverified,,True,relation,16272154,unknown,,"Exact river; app concept is a specific canal-side destination, so a generic river summary may be too broad.",https://www.wikidata.org/wiki/Q8010297,https://en.wikipedia.org/wiki/Meguro_River,,https://commons.wikimedia.org/wiki/File:Meguro%20River%20Spring%202014%282%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Meguro%20River%20Spring%202014%282%29.jpg?width=400,https://www.openstreetmap.org/relation/16272154
14,Omoide Yokochō,Tokyo,Japan,B,Q11501868,exact,name + coordinates,high,False,False,,,,,True,Shinjuku-West Omoide-Yokocho.jpg,5472,3648,1.5,12.71,unverified,,True,node,4154282189,unknown,,"Exact item, but only Japanese Wikipedia. Useful image without EN/HE summary.",https://www.wikidata.org/wiki/Q11501868,,,https://commons.wikimedia.org/wiki/File:Shinjuku-West%20Omoide-Yokocho.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shinjuku-West%20Omoide-Yokocho.jpg?width=400,https://www.openstreetmap.org/node/4154282189
15,Toyosu Market,Tokyo,Japan,B,Q11633916,exact,name + coordinates,high,True,True,738,126,116,19,True,Toyosu Market Tokyo 2.jpg,4672,2625,1.78,,unverified,,True,relation,9113166,unknown,,Exact market entity.,https://www.wikidata.org/wiki/Q11633916,https://en.wikipedia.org/wiki/Toyosu_Market,https://he.wikipedia.org/wiki/%D7%A9%D7%95%D7%A7_%D7%98%D7%95%D7%99%D7%95%D7%A1%D7%95,https://commons.wikimedia.org/wiki/File:Toyosu%20Market%20Tokyo%202.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyosu%20Market%20Tokyo%202.jpg?width=400,https://www.openstreetmap.org/relation/9113166
16,Ichiran Shibuya,Tokyo,Japan,C,Q11266830,unsafe_parent,name only,low,False,False,,,,,False,,,,,,not applicable,,False,,,unknown,,"Search resolves to the Ichiran chain, not the Shibuya branch. Reject.",https://www.wikidata.org/wiki/Q11266830,,,,,
17,AFURI Harajuku,Tokyo,Japan,C,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact open-knowledge entity verified.,,,,,,
18,Fuunji,Tokyo,Japan,C,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact open-knowledge entity verified.,,,,,,
19,Blue Bottle Coffee Kiyosumi-Shirakawa,Tokyo,Japan,C,,unsafe_parent,name only,low,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,"Search resolves to the company/chain, not the branch. Reject.",,,,,,
20,Sushi Dai,Tokyo,Japan,C,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact Wikidata/Wikipedia entity verified.,,,,,,
21,Gonpachi Nishiazabu,Tokyo,Japan,C,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact Wikidata/Wikipedia entity verified.,,,,,,
22,Onibus Coffee Nakameguro,Tokyo,Japan,C,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact Wikidata/Wikipedia entity verified.,,,,,,
23,Shinjuku Granbell Hotel,Tokyo,Japan,D,Q111406661,exact,name + coordinates,high,False,False,,,,,True,Shinjuku Granbell Hotel image (P18),,,,,unverified,,True,node,4269834397,unknown,,"Exact hotel item, no Wikipedia sitelinks.",https://www.wikidata.org/wiki/Q111406661,,,https://commons.wikimedia.org/wiki/File:Shinjuku%20Granbell%20Hotel%20image%20%28P18%29,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shinjuku%20Granbell%20Hotel%20image%20%28P18%29?width=400,https://www.openstreetmap.org/node/4269834397
24,Park Hyatt Tokyo,Tokyo,Japan,D,Q11329793,exact,name + coordinates,high,False,False,,,,,True,ParkHyattTokyo.JPG,1200,1600,0.75,0.311,unverified,,True,node,2327217291,unknown,,Exact hotel item exists; naive Wikipedia REST resolution can incorrectly land on Shinjuku Park Tower.,https://www.wikidata.org/wiki/Q11329793,,,https://commons.wikimedia.org/wiki/File:ParkHyattTokyo.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/ParkHyattTokyo.JPG?width=400,https://www.openstreetmap.org/node/2327217291
25,APA Hotel Shinjuku Kabukicho Tower,Tokyo,Japan,D,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact open-knowledge entity verified.,,,,,,
26,Narita International Airport,Tokyo region,Japan,D,Q36454,exact,name + coordinates,high,True,True,,,,,True,Narita airport aerial image,840,733,1.146,,unverified,,True,relation,3182579,unknown,,Exact airport entity.,https://www.wikidata.org/wiki/Q36454,https://en.wikipedia.org/wiki/Narita_International_Airport,https://he.wikipedia.org/wiki/%D7%A0%D7%9E%D7%9C_%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94_%D7%94%D7%91%D7%99%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99_%D7%A0%D7%A8%D7%99%D7%98%D7%94,https://commons.wikimedia.org/wiki/File:Narita%20airport%20aerial%20image,https://commons.wikimedia.org/wiki/Special:Redirect/file/Narita%20airport%20aerial%20image?width=400,https://www.openstreetmap.org/relation/3182579
27,Shinjuku Station,Tokyo,Japan,D,Q801447,exact,name + coordinates,high,True,False,304,48,,,True,JRE Shinjuku-STA South.jpg,5472,3648,1.5,13.08,unverified,,True,node,1926277346,unknown,,Exact station entity; multiple operator-specific sub-entities make proximity matching potentially ambiguous.,https://www.wikidata.org/wiki/Q801447,https://en.wikipedia.org/wiki/Shinjuku_Station,,https://commons.wikimedia.org/wiki/File:JRE%20Shinjuku-STA%20South.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/JRE%20Shinjuku-STA%20South.jpg?width=400,https://www.openstreetmap.org/node/1926277346
28,Eiffel Tower,Paris,France,A,Q243,exact,name + coordinates,high,True,True,183,34,,,True,Wikidata P18 Commons image (not REST logo),,,,,unverified,,True,way,5013364,present,"09:30-23:45; Jun 21-Sep 02: 09:00-00:45; Jul 14,Jul 15 off",Wikipedia REST selected a non-free logo; the image pipeline must prefer Wikidata P18/Commons.,https://www.wikidata.org/wiki/Q243,https://en.wikipedia.org/wiki/Eiffel_Tower,https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C_%D7%90%D7%99%D7%99%D7%A4%D7%9C,https://commons.wikimedia.org/wiki/File:Wikidata%20P18%20Commons%20image%20%28not%20REST%20logo%29,https://commons.wikimedia.org/wiki/Special:Redirect/file/Wikidata%20P18%20Commons%20image%20%28not%20REST%20logo%29?width=400,https://www.openstreetmap.org/way/5013364
29,Canal Saint-Martin,Paris,France,B,Q860172,exact,name + coordinates,high,True,True,,,,,True,Paris Canal St-Martin écluses Récollets 2013.jpg,4774,3113,1.534,14.74,CC BY-SA 3.0,True,False,,,unknown,,REST summary image can be a map rather than a photo; P18 gives a usable landscape photograph.,https://www.wikidata.org/wiki/Q860172,https://en.wikipedia.org/wiki/Canal_Saint-Martin,https://he.wikipedia.org/wiki/%D7%AA%D7%A2%D7%9C%D7%AA_%D7%A1%D7%9F_%D7%9E%D7%A8%D7%98%D7%9F,https://commons.wikimedia.org/wiki/File:Paris%20Canal%20St-Martin%20%C3%A9cluses%20R%C3%A9collets%202013.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Paris%20Canal%20St-Martin%20%C3%A9cluses%20R%C3%A9collets%202013.jpg?width=400,
30,Bouillon Chartier Grands Boulevards,Paris,France,C,Q1071456,exact,name + coordinates,high,True,False,,,,,True,Paris Chartier 1302.jpg,3302,4953,0.667,3.35,CC BY-SA 3.0,True,True,node,10804882603,unknown,,Famous independent restaurant; much better open coverage than an ordinary branch.,https://www.wikidata.org/wiki/Q1071456,https://en.wikipedia.org/wiki/Bouillon_Chartier,,https://commons.wikimedia.org/wiki/File:Paris%20Chartier%201302.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Paris%20Chartier%201302.jpg?width=400,https://www.openstreetmap.org/node/10804882603
31,Hôtel du Louvre,Paris,France,D,Q3146289,exact,name + coordinates,high,True,False,,,,,True,Paris Hotel du Louvre.jpg,4523,2739,1.651,,unverified,,True,way,53823599,unknown,,Exact hotel entity.,https://www.wikidata.org/wiki/Q3146289,https://en.wikipedia.org/wiki/H%C3%B4tel_du_Louvre,,https://commons.wikimedia.org/wiki/File:Paris%20Hotel%20du%20Louvre.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Paris%20Hotel%20du%20Louvre.jpg?width=400,https://www.openstreetmap.org/way/53823599
32,Western Wall,Jerusalem,Israel,A,Q134821,exact,name + coordinates,high,True,True,,,,,True,16-03-30-Klagemauer Jerusalem RalfR-DSCF7673.jpg,4397,2956,1.487,10.94,GFDL 1.2,True,True,way,817206833,unknown,,Exact landmark entity.,https://www.wikidata.org/wiki/Q134821,https://en.wikipedia.org/wiki/Western_Wall,https://he.wikipedia.org/wiki/%D7%94%D7%9B%D7%95%D7%AA%D7%9C_%D7%94%D7%9E%D7%A2%D7%A8%D7%91%D7%99,https://commons.wikimedia.org/wiki/File:16-03-30-Klagemauer%20Jerusalem%20RalfR-DSCF7673.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/16-03-30-Klagemauer%20Jerusalem%20RalfR-DSCF7673.jpg?width=400,https://www.openstreetmap.org/way/817206833
33,Mahane Yehuda Market,Jerusalem,Israel,B,Q2918531,exact,name + coordinates,high,True,True,,,,,True,Shuk (26).JPG,3008,2000,1.504,,unverified,,False,,,unknown,,Exact market entity.,https://www.wikidata.org/wiki/Q2918531,https://en.wikipedia.org/wiki/Mahane_Yehuda_Market,https://he.wikipedia.org/wiki/%D7%A9%D7%95%D7%A7_%D7%9E%D7%97%D7%A0%D7%94_%D7%99%D7%94%D7%95%D7%93%D7%94,https://commons.wikimedia.org/wiki/File:Shuk%20%2826%29.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shuk%20%2826%29.JPG?width=400,
34,Machneyuda restaurant,Jerusalem,Israel,C,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact Wikidata/Wikipedia entity verified.,,,,,,
35,Jerusalem Central Bus Station,Jerusalem,Israel,D,Q2912210,exact,name + coordinates,high,True,True,,,,,True,Jerusalem-Central-bus-station.jpg,1600,1200,1.333,,unverified,,False,,,unknown,,Exact transport entity.,https://www.wikidata.org/wiki/Q2912210,https://en.wikipedia.org/wiki/Jerusalem_central_bus_station,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%97%D7%A0%D7%94_%D7%94%D7%9E%D7%A8%D7%9B%D7%96%D7%99%D7%AA_%D7%A9%D7%9C_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D,https://commons.wikimedia.org/wiki/File:Jerusalem-Central-bus-station.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jerusalem-Central-bus-station.jpg?width=400,
36,Statue of Liberty,New York City,United States,A,Q9202,exact,name + coordinates,high,True,True,383,65,,,True,Front view of Statue of Liberty (cropped).jpg,2498,3828,0.653,,unverified,,False,,,unknown,,Portrait image is a difficult crop case.,https://www.wikidata.org/wiki/Q9202,https://en.wikipedia.org/wiki/Statue_of_Liberty,https://he.wikipedia.org/wiki/%D7%A4%D7%A1%D7%9C_%D7%94%D7%97%D7%99%D7%A8%D7%95%D7%AA,https://commons.wikimedia.org/wiki/File:Front%20view%20of%20Statue%20of%20Liberty%20%28cropped%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Front%20view%20of%20Statue%20of%20Liberty%20%28cropped%29.jpg?width=400,
37,High Line,New York City,United States,B,Q843869,exact,name,high,True,True,589,100,,,True,Highline 02.jpg,4032,3024,1.333,,unverified,,False,,,unknown,,Exact linear park entity.,https://www.wikidata.org/wiki/Q843869,https://en.wikipedia.org/wiki/High_Line,https://he.wikipedia.org/wiki/%D7%94%D7%99%D7%99_%D7%9C%D7%99%D7%99%D7%9F,https://commons.wikimedia.org/wiki/File:Highline%2002.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Highline%2002.jpg?width=400,
38,Katz's Delicatessen,New York City,United States,C,Q2611788,exact,name + coordinates,high,True,True,,,,,True,Lozupone katz2.png,3840,2160,1.778,,unverified,,True,node,1915398676,unknown,,Famous independent restaurant with unusually strong coverage.,https://www.wikidata.org/wiki/Q2611788,https://en.wikipedia.org/wiki/Katz%2527s_Delicatessen,https://he.wikipedia.org/wiki/%D7%9B%D7%A5_%D7%93%D7%9C%D7%99%D7%A7%D7%98%D7%A1%D7%9F,https://commons.wikimedia.org/wiki/File:Lozupone%20katz2.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Lozupone%20katz2.png?width=400,https://www.openstreetmap.org/node/1915398676
39,Plaza Hotel,New York City,United States,D,Q1066676,exact,name + coordinates,high,True,True,,,,,True,New York - Manhattan - Plaza Hotel.jpg,3240,4118,0.787,,unverified,,True,relation,9771573,unknown,,Exact hotel entity; portrait image.,https://www.wikidata.org/wiki/Q1066676,https://en.wikipedia.org/wiki/Plaza_Hotel,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%95%D7%9F_%D7%A4%D7%9C%D7%90%D7%96%D7%94,https://commons.wikimedia.org/wiki/File:New%20York%20-%20Manhattan%20-%20Plaza%20Hotel.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/New%20York%20-%20Manhattan%20-%20Plaza%20Hotel.jpg?width=400,https://www.openstreetmap.org/relation/9771573
40,Palacio de Bellas Artes,Mexico City,Mexico,A,Q1139081,exact,name + coordinates,high,True,True,355,60,,,True,Bellas Artes 01.jpg,4140,2760,1.5,,unverified,,False,,,unknown,,Exact cultural landmark entity.,https://www.wikidata.org/wiki/Q1139081,https://en.wikipedia.org/wiki/Palacio_de_Bellas_Artes,https://he.wikipedia.org/wiki/%D7%90%D7%A8%D7%9E%D7%95%D7%9F_%D7%94%D7%90%D7%9E%D7%A0%D7%95%D7%99%D7%95%D7%AA_%D7%94%D7%99%D7%A4%D7%95%D7%AA,https://commons.wikimedia.org/wiki/File:Bellas%20Artes%2001.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bellas%20Artes%2001.jpg?width=400,
41,Mercado de Coyoacán,Mexico City,Mexico,B,,miss,name,none,False,False,,,,,False,,,,,,unverified,,False,,,unknown,,No exact Wikidata item was verified; search results mostly resolved to the Coyoacán district.,,,,,,
42,Pujol,Mexico City,Mexico,C,Q7259065,exact,name + coordinates,high,True,False,,,,,True,Pujol Restaurant (40553682022).jpg,7952,5304,1.499,26.3,CC BY 2.0,True,False,,,unknown,,Famous independent restaurant with an exact entity and very large landscape photo.,https://www.wikidata.org/wiki/Q7259065,https://en.wikipedia.org/wiki/Pujol_%28restaurant%29,,https://commons.wikimedia.org/wiki/File:Pujol%20Restaurant%20%2840553682022%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pujol%20Restaurant%20%2840553682022%29.jpg?width=400,
43,Mexico City International Airport,Mexico City,Mexico,D,Q860559,exact,name + coordinates,high,True,True,,,,,True,Benitojuarezarptaerial.jpg,840,733,1.146,,unverified,,False,,,unknown,,Exact airport entity.,https://www.wikidata.org/wiki/Q860559,https://en.wikipedia.org/wiki/Mexico_City_International_Airport,https://he.wikipedia.org/wiki/%D7%A0%D7%9E%D7%9C_%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94_%D7%94%D7%91%D7%99%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99_%D7%A9%D7%9C_%D7%9E%D7%A7%D7%A1%D7%99%D7%A7%D7%95_%D7%A1%D7%99%D7%98%D7%99,https://commons.wikimedia.org/wiki/File:Benitojuarezarptaerial.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Benitojuarezarptaerial.jpg?width=400,
